frame    mol0
    0      NA
    1  35.521
    2  39.779
    3  48.469
    4  50.834
    5  53.637
    6  54.665
    7  55.254
    8  60.262
    9  58.508
   10  58.724
   11  62.493
   12  64.680
   13  63.930
   14  66.795
   15  67.280
   16  67.235
   17  69.881
   18  69.401
   19  70.067
   20  70.103
   21  70.240
   22  71.741
   23  71.848
   24  72.205
   25  75.224
   26  73.211
   27  72.958
   28  74.548
   29  75.685
   30  75.213
   31  75.504
   32  74.643
   33  75.672
   34  75.493
   35  78.064
   36  77.979
   37  78.449
   38  77.333
   39  77.865
   40  76.633
   41  78.788
   42  78.873
   43  79.472
   44  80.349
   45  81.590
   46  81.294
   47  81.220
   48  81.306
   49  79.052
   50  80.880
   51  81.149
   52  82.054
   53  82.572
   54  83.547
   55  83.594
   56  83.417
   57  82.628
   58  83.419
   59  85.275
   60  85.265
   61  85.967
   62  85.423
   63  86.436
   64  87.093
   65  85.296
   66  86.758
   67  85.897
   68  85.577
   69  87.237
   70  88.677
   71  86.289
   72  86.980
   73  87.444
   74  87.219
   75  86.257
   76  87.744
   77  86.308
   78  85.915
   79  87.176
   80  86.423
   81  87.578
   82  86.976
   83  87.469
   84  87.499
   85  87.678
   86  88.450
   87  87.836
   88  88.115
   89  88.793
   90  87.757
   91  87.673
   92  88.221
   93  89.322
   94  88.477
   95  88.975
   96  88.626
   97  89.751
   98  88.894
   99  89.682

